id,term,level,l1_name,active,sort_order,parent_id,canonical_term_id,created_at,updated_at
b93840b8-5c4e-41f9-9371-acd1ea4e8285,交通运输,alias,交通与物流,t,0,,e2cb008b-266d-4404-913f-542673838a69,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
d4965642-4718-49de-9533-3e0bdbe34c2a,物流,alias,交通与物流,t,0,,e2cb008b-266d-4404-913f-542673838a69,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
24b58827-a768-416f-b93f-7e05e274012e,信息技术,alias,信息技术与通信,t,0,,bfc7c68e-78a5-4de2-8c4b-bbf0fa0d4f9a,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
3e6e1458-1b1c-47d7-ab2e-5f38c486dd5f,国防军工,alias,军工,t,0,,75c8a36f-8bdd-4a40-8a5d-5223ab099934,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
caca43b3-189e-42e7-a727-a0b4d3816cef,先进制造,alias,制造与工业,t,0,,45932d9b-0c5b-4eaf-abd6-f4f87f4c882f,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
05fcbdfd-64ee-4f76-b6c4-7286c46f61c9,制造业,alias,制造与工业,t,0,,45932d9b-0c5b-4eaf-abd6-f4f87f4c882f,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
9e4e4ba2-b1e4-41c8-9c1e-4e1da9488ea5,材料,alias,制造与工业,t,0,,45932d9b-0c5b-4eaf-abd6-f4f87f4c882f,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
fbade2e5-cc4d-4de0-97f4-49b0cb1cf2e1,医疗健康,alias,医药与健康,t,0,,8647abac-20c5-41b0-8b24-4f12657b9fd9,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
3ff159ec-93ea-4f67-b39b-9cd4f1adea45,医药,alias,医药与健康,t,0,,8647abac-20c5-41b0-8b24-4f12657b9fd9,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
635ee3e5-998e-40be-9c2d-47bbbfadc83f,医药健康,alias,医药与健康,t,0,,8647abac-20c5-41b0-8b24-4f12657b9fd9,2026-07-31 18:16:15.541628+08,2026-07-31 18:16:15.541628+08
