一级行业,二级行业,别名,状态
文化与传媒,,,启用
文化与传媒,会展,文化旅游（会展）,启用
文化与传媒,体育,,启用
文化与传媒,体育演艺与内容制作,,启用
文化与传媒,出版,,启用
文化与传媒,广告传媒,,启用
文化与传媒,广电,,启用
文化与传媒,文化旅游,,启用
文化与传媒,文旅,,启用
文化与传媒,旅游,文化旅游（旅游）,启用
文化与传媒,酒店,,启用
制造与工业,,企业（制造业）,启用
制造与工业,低空经济,,启用
制造与工业,化工,,启用
制造与工业,印刷包装,印刷和记录媒介复制业,启用
制造与工业,家电电器,家电/电器,启用
制造与工业,整车制造,汽车（整车制造）,启用
制造与工业,新材料,,启用
制造与工业,无人机,,启用
制造与工业,有色金属,有色金属及矿业（冶炼与加工）,启用
制造与工业,有色金属压铸,,启用
制造与工业,有色金属及矿业,,启用
制造与工业,机器人,,启用
制造与工业,检测服务,检测行业,启用
制造与工业,橡胶塑料,,启用
制造与工业,汽车,,启用
制造与工业,汽车销售与服务,,启用
制造与工业,汽车零部件,汽车（零部件）、汽车车身零部件,启用
制造与工业,测量测绘,,启用
制造与工业,海洋装备,,启用
制造与工业,电气机械,电气机械和器材制造业,启用
制造与工业,电线电缆,,启用
制造与工业,矿业,,启用
制造与工业,精细化工,,启用
制造与工业,纺织,,启用
制造与工业,纺织业,,启用
制造与工业,航空航天,,启用
制造与工业,装备制造,装备与仪器制造、通用设备制造业、主轴,启用
制造与工业,采掘与矿业,有色金属及矿业（采掘）,启用
制造与工业,采矿业,,启用
制造与工业,钢铁,钢铁（冶炼与加工）,启用
制造与工业,高端装备,高端制造,启用
