一级行业,二级行业,别名,状态
商贸与消费,,,启用
商贸与消费,休闲食品,,启用
商贸与消费,农产品加工,,启用
商贸与消费,批发,,启用
商贸与消费,日化美妆,,启用
商贸与消费,服装鞋帽,快速消费品（服装鞋帽）,启用
商贸与消费,珠宝奢侈品,,启用
商贸与消费,电商,,启用
商贸与消费,盐业,,启用
商贸与消费,粮油食品,,启用
商贸与消费,贸易,,启用
商贸与消费,跨境电商,,启用
商贸与消费,酒水饮料,,启用
商贸与消费,零售,,启用
商贸与消费,食品,食品（其他）,启用
商贸与消费,食品制造,,启用
商贸与消费,食品加工,,启用
商贸与消费,餐饮,,启用
医药与健康,,医药（其他）,启用
医药与健康,制药,医药制造业,启用
医药与健康,医疗器械,,启用
医药与健康,医疗康养服务,,启用
医药与健康,医疗研发外包,,启用
医药与健康,医美,,启用
医药与健康,医药商业,,启用
医药与健康,医药流通,,启用
医药与健康,医院,,启用
医药与健康,康养,,启用
医药与健康,生物制药,,启用
医药与健康,生物医药,医药（生物医疗）,启用
医药与健康,生物技术,,启用
医药与健康,药品生产,医药（药品生产）,启用
教育与科研,,,启用
教育与科研,人力资源服务,,启用
教育与科研,教育培训,,启用
教育与科研,教育机构,,启用
教育与科研,科研院所,,启用
教育与科研,职业教育,,启用
教育与科研,高校院校,,启用
环保与公用事业,,,启用
环保与公用事业,公共设施管理,公共设施管理业,启用
环保与公用事业,水务,公用事业（水务）,启用
环保与公用事业,燃气,,启用
环保与公用事业,生态环保,环保（生态环保）、环保（生态环保/环投）、生态保护和环境治理业,启用
农林牧渔,,,启用
农林牧渔,农业,,启用
农林牧渔,农垦,,启用
农林牧渔,渔业,,启用
农林牧渔,畜牧业,,启用
